ulid,text
01K5JNM21E7PZNCNCRW6QKTRTE,Mami baka hindi ka sa February 14?
01K5JNM28Q4R8QM3MZ5CZPXSMS,Wiri ka na mo kulatahun anak.
01K5JNM2FTVJ2HBMR0QNTD592P,Ano kung kulatahun man?
01K5JNM2PPQ4A6H016JN7182DW,Inju-inju magka-anak.
01K5JNM2XEGXJPQZ8V5HMR1VKB,"Pag shoulder ah, tarong."
01K5JNM355K6BJV4K24970E1HQ,"Let's be real, come on, sige nga!"
01K5JNM3CX3TCV1BS2XP9AQR55,"Pag sinabi ni Mika sa lamakan na pagpalit mo yung asawa mo para sa kanya, hindi mo gagawin?"
01K5JNM3N61YP0M402HF451EBJ,Nasasabi mo yan kasi imposible.
01K5JNM3WTJJFCR3TH2AMMBY1Q,Kasi ba't pa ako dadaan ng A to Z?
01K5JNM44XPQ9ERV9TEYN19DXG,Kung yung bilang sapat na.
01K5JNM4C2G6136BQMSB1YMV3P,"Aba ka wala ng dragon, yung tarak tabaon, yung taas pambalon, lawit black sa pantalon"
01K5JNM4PA11MJDZ16Y2FG9AXG,"Kung anadala ko ay yung palagi yung tanong, man sagot ko malaking tantang pananong"
01K5JNM50AVC7W4PBZQ33JEKKB,"Yung YG Tooth, GH Sharp ang kaahuk, CBR sa paki-puch, CBR mas hari pa sa CDR"
01K5JNM5AXP4GV6V6707KHXHDQ,"King, kami na nga yung nag-hari sa palas, yung malasong komalas, motangin, digalam balato"
01K5JNM5NB1DPX0C1RPDM6CV6F,"Presko, tas new night, yung eyes sa aming God, siya yung na tunay"
01K5JNM5ZSMZSQSCMSP4ZTZPVY,"Peace mong patunay, si night binuhay, yung mating naserak ay may hinuhay"
01K5JNM69MFZ8T6KSZSSF013NF,"Andana na makipagbalihan pa din ang sungay, siya malabo na malako ba kahit mo ng satiba"
01K5JNM6M5TKE4348ZA64Z24SJ,"Pailim tagulang yung usok, di na makita habang hawak-hawak yung baso"
01K5JNM6XWF0KD3W8MSDJX5WWM,"Nasing sasyat pag tunggao, basad na basad, malalas sa dila-dila na gramo"
01K5JNM77XQC592DVCY9PSV3H7,con la mano en el piso y con la poppin' pa' arriba
01K5JNM7FXZ432GT848RZXAG74,mano en el piso y con la poppin' pa' arriba
01K5JNM7PWFK1XT6EMFYRVCZR1,"el número uno se fue con dos, en el cuarto eran tres, en el cuatro la partió"
01K5JNM7YT7244YNVJQF09WAZB,"mami, sin cojones lo que diga la ley, son las fichas del dron que el doble c"
01K5JNM86GAN1Q03551G88BTFP,Nailalag ko siya sa west
01K5JNM8J7W59Z2VHEATJDCV9B,Ilang taon na rin ang piles
01K5JNM8V89EHFJ0J1NCHBXCW1,Pinagtagpuli ng panahon kaming dalawa na parang itin at hanan
01K5JNM94PWXC4894DZ1AV870G,Puso pinana at aking ibinatama
01K5JNM9E1SGPQ415PZXSTY81V,Kahit ang bakas ng nakaraan ay hindi mawala pa
01K5JNM9Q3XGT6NAMK6ZAZV59E,Andiyong ka pa rin na sa likod at hindi yung nawala ka
01K5JNMA08G26HEY2SEWEPCKQA,Ang mga kamalihan ko na unakina't din at tama
